name,year,director
12 Years a Slave,2013,Steve McQueen
A Beautiful Mind,2001,Ron Howard
Amadeus,1984,Miloš Forman
American Beauty,1999,Sam Mendes
Anora,2024,Sean Baker
Annie Hall,1977,Woody Allen
Argo,2012,Ben Affleck
Birdman,2014,Alejandro González Iñárritu
Braveheart,1995,Mel Gibson
Chariots of Fire,1981,Hugh Hudson
Chicago,2002,Rob Marshall
CODA,2021,Sian Heder
Crash,2005,Paul Haggis
Dances with Wolves,1990,Kevin Costner
Driving Miss Daisy,1989,Bruce Beresford
Everything Everywhere All at Once,2022,Daniel Kwan & Daniel Scheinert
Forrest Gump,1994,Robert Zemeckis
Gandhi,1982,Richard Attenborough
Gladiator,2000,Ridley Scott
Green Book,2018,Peter Farrelly
In the Heat of the Night,1967,Norman Jewison
Kramer vs. Kramer,1979,Robert Benton
Midnight Cowboy,1969,John Schlesinger
Million Dollar Baby,2004,Clint Eastwood
Moonlight,2016,Barry Jenkins
No Country for Old Men,2007,Joel Coen
Nomadland,2020,Chloé Zhao
Oliver!,1968,Carol Reed
One Flew Over the Cuckoo's Nest,1975,Miloš Forman
Oppenheimer,2023,Christopher Nolan
Ordinary People,1980,Robert Redford
Out of Africa,1985,Sydney Pollack
Parasite,2019,Bong Joon-ho
Patton,1970,Franklin J. Schaffner
Platoon,1986,Oliver Stone
Rain Man,1988,Barry Levinson
Rocky,1976,John G. Avildsen
Schindler's List,1993,Steven Spielberg
Shakespeare in Love,1998,John Madden
Slumdog Millionaire,2008,Danny Boyle
Spotlight,2015,Tom McCarthy
Terms of Endearment,1983,James L. Brooks
The Artist,2011,Michel Hazanavicius
The Deer Hunter,1978,Michael Cimino
The Departed,2006,Martin Scorsese
The English Patient,1996,Anthony Minghella
The French Connection,1971,William Friedkin
The Godfather,1972,Francis Ford Coppola
The Godfather Part II,1974,Francis Ford Coppola
The Hurt Locker,2009,Kathryn Bigelow
The King's Speech,2010,Tom Hooper
The Last Emperor,1987,Bernardo Bertolucci
The Lord of the Rings: The Return of the King,2003,Peter Jackson
The Shape of Water,2017,Guillermo del Toro
The Silence of the Lambs,1991,Jonathan Demme
The Sting,1973,George Roy Hill
Titanic,1997,James Cameron
Unforgiven,1992,Clint Eastwood
